"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT1G22400",340.347118128821,-1.70110690189054,0.458371254049012,-3.71119891761067,0.000206279920978947,0.00262139684140511,"AT1G22400","ATUGT85A1;UGT85A1",NA
"AT1G72790",139.419054005896,-1.23851568196133,0.333991602275076,-3.70822401978026,0.00020871797146181,0.00264288975789597,"AT1G72790",NA,NA
"AT3G51890",145.283350546615,-1.23682351530064,0.333533689997173,-3.70824163313493,0.000208703457283572,0.00264288975789597,"AT3G51890","CLC3",NA
"AT5G13710",1274.029090912,-1.05522943631519,0.284630225438956,-3.70736956936956,0.000209423215747241,0.00265023956280849,"AT5G13710","CPH;SMT1","SMT1 controls the level of cholesterol in plants"
"AT1G23840",45.3774454484612,-2.61897429805004,0.707734048567108,-3.70050628954827,0.000215169745968228,0.00271025335504271,"AT1G23840",NA,NA
"AT4G39830",42.7764486458529,-2.12679899566335,0.574734980219195,-3.70048643089764,0.000215186586136191,0.00271025335504271,"AT4G39830","AO;MCO1",NA
"AT4G36730",963.857899578293,-1.65925959127605,0.44844191241259,-3.70005466783722,0.000215553028014215,0.00271325936566796,"AT4G36730","AtGBF1;GBF1","member of a gene family encoding basic leucine zipper proteins (GBFs) which bind the G-box"
"AT2G38465",24.0727436051656,-2.33008601552555,0.630466238141885,-3.69581410480091,0.000219183309219479,0.00275080234708962,"AT2G38465",NA,NA
"AT1G65390",108.385878197857,-2.7725252419617,0.7512967536502,-3.69031974182144,0.000223972353307939,0.00279767818970241,"AT1G65390","ATPP2-A5;PP2-A5",NA
"AT3G45040",213.375993603212,-1.26049707904206,0.342014089944846,-3.68551213561209,0.000228243205425595,0.00284600379754111,"AT3G45040","AtDOK1;DOK1;EVN","Encodes a putative dolichol kinase."
"AT5G41260",349.41676788888,-1.10604832121173,0.30037595799278,-3.68221321241136,0.00023121790674927,0.00287802593776128,"AT5G41260","BSK8",NA
"AT4G39580",13.8454853954343,-2.53897595313656,0.689760730034191,-3.68095173091502,0.000232364995064531,0.00289060964862057,"AT4G39580",NA,NA
"AT2G45000",201.427923655705,-1.03541982297355,0.281374847290793,-3.67985920896287,0.000233362758649009,0.00289999024645822,"AT2G45000","AtNUP62;EMB2766;NUP62",NA
"AT5G44260",299.177996387619,-1.92636873472174,0.523494369103533,-3.67982704001303,0.000233392198313968,0.00289999024645822,"AT5G44260","AtC3H61;AtTZF5;TZF5",NA
"AT1G02610",136.90809852357,-2.20330962932266,0.600670745567325,-3.66808213248618,0.000244376689128446,0.00302056984496073,"AT1G02610",NA,NA
"AT1G30700",224.560957026468,-1.82848507912051,0.498737985369712,-3.66622381442445,0.00024615850333577,0.00303728984214706,"AT1G30700","AtBBE8",NA
"AT1G74910",1350.23397108908,-1.0794554368289,0.294851327761634,-3.66101602805588,0.000251217040706528,0.00308600001948666,"AT1G74910","KJC1",NA
"AT4G15610",709.006026823235,-2.04786936317503,0.559348541013896,-3.66116868645618,0.000251067380406159,0.00308600001948666,"AT4G15610","CASPL1D1",NA
"AT5G52250",172.979552343251,-1.7247338182236,0.472143722251226,-3.65298475218501,0.000259209629069347,0.00317617799958891,"AT5G52250","EFO1;RUP1","Encodes a transducin protein whose gene expression is induced by UV-B. This induction is reduced in hy5 mutant and may be a target of HY5 during UV-B response."
"AT4G11170",8.96888547289689,-4.89949848844043,1.34133703641476,-3.65269753643443,0.000259499829966953,0.00317790016686751,"AT4G11170","RMG1",NA
"AT1G54890",22.8436318440707,-1.94366015517772,0.5324171195698,-3.65063421842675,0.00026159356515987,0.00319616763876286,"AT1G54890",NA,NA
"AT1G14870",589.529391733616,-2.02845545338066,0.555864726374116,-3.6491890151264,0.000263069494123602,0.00320866209518363,"AT1G14870","AtPCR2;PCR2",NA
"AT1G30755",135.537507468468,-1.54013457268579,0.4222794046587,-3.64719319885035,0.000265120581172456,0.00322811670940201,"AT1G30755","PSI2",NA
