"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT5G46500",37.5926508735652,3.87808712726306,0.782218186990325,4.95780741455839,7.12931802868862e-07,2.3183930832956e-05,"AT5G46500",NA,NA
"AT5G10470",944.610772901764,1.99486395907431,0.4024276563767,4.95707471259625,7.15624632433157e-07,2.32359160087433e-05,"AT5G10470","KAC1;KCA1","Kinesin that binds cyclin-dependent kinase CDKA;1 as homodimer or as heterodimer with KCA2. Demarcates the division site in plant cells."
"AT2G35130",245.46761237212,1.48209981947136,0.299087432240409,4.95540654573556,7.21792089978578e-07,2.34003893598399e-05,"AT2G35130","AtPPR66L;PPR_66",NA
"AT2G05070",35776.7689191112,1.23943687085655,0.250494322540716,4.94796392303498,7.49938039567332e-07,2.41653023827197e-05,"AT2G05070","LHCB2;LHCB2.2","Encodes Lhcb2.2.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus."
"AT2G33255",287.00715002973,1.22230395280148,0.247084131149704,4.94691402120401,7.53992593826059e-07,2.4259140499843e-05,"AT2G33255","PLPP1",NA
"AT1G44446",3440.63762456366,1.26360055110434,0.255546337326225,4.94470225762325,7.62603289461309e-07,2.44990633157502e-05,"AT1G44446","ATCAO;CAO;CH1","Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22."
"AT1G29660",1903.20903487171,1.8723891735351,0.379326708834184,4.93608578022272,7.97060608559852e-07,2.55287813314758e-05,"AT1G29660","GGL5",NA
"AT4G10120",1543.04641290141,2.26959226458516,0.460060110483145,4.93325157489026,8.08718824169737e-07,2.58631690229584e-05,"AT4G10120","ATSPS4F;AtSPSC;SPS4F;SPSC","Encodes a protein with putative sucrose-phosphate synthase activity."
"AT4G13810",203.980187089394,2.28048220314329,0.462442995001742,4.93138014369684,8.16506607169891e-07,2.60338105153944e-05,"AT4G13810","AtRLP47;RLP47",NA
"AT2G22360",471.326680010644,1.21344455934787,0.246098760413271,4.93072194801042,8.1926275618678e-07,2.60825256786001e-05,"AT2G22360","DJA6",NA
"AT4G34240",788.472400262772,1.04947233645251,0.213015939535072,4.92673148658776,8.36165365404708e-07,2.65807957101332e-05,"AT4G34240","ALDH3;ALDH3I1","Aldehyde dehydrogenase induced by ABA and dehydration"
"AT5G20860",14.3016236970595,3.00754101526605,0.610709566552811,4.92466661729618,8.45042995943537e-07,2.68228520461301e-05,"AT5G20860","PMEI-PME54",NA
"AT3G63445",70.6821446750849,1.12154463121486,0.228235080081698,4.91398881720286,8.92418421677087e-07,2.82001565242752e-05,"AT3G63445",NA,NA
"AT4G30610",340.472711094301,1.74463284026402,0.355179412258073,4.91197625778032,9.01629727836297e-07,2.84488963901988e-05,"AT4G30610","BRS1;SCPL24","Encodes a secreted glycosylated serine carboxypeptidase with broad substrate preference that is involved in brassinosteroid signalling via BRI1.  It is proteolytically processed in vivo by a separate as yet unidentified protease."
"AT5G13580",184.111867302024,1.83582347265145,0.373822668782943,4.91094742496049,9.06373897811497e-07,2.85138514370772e-05,"AT5G13580","ABCG6;JAT3",NA
"AT1G70000",196.198452854265,1.41802068635845,0.289020312274769,4.90630113571518,9.28099963104402e-07,2.902533537043e-05,"AT1G70000","MYBD",NA
"AT1G05900",174.335666789769,1.21027145960515,0.247155671294828,4.89679825376709,9.74107547028478e-07,3.02857595331621e-05,"AT1G05900","ATNTH2;NTH2",NA
