"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TAIR","SYMBOL","GENENAME"
"AT2G28440",14.4506565435969,1.353110482841,0.469375289675946,2.88279019497422,0.0039416987898494,0.021759058380901,"AT2G28440",NA,NA
"AT5G48000",466.617564915786,1.1769051222647,0.40881526432382,2.87881893111622,0.00399167442819653,0.0219706251029284,"AT5G48000","CYP708;CYP708A2;THAH;THAH1","Encodes a member of the CYP708A family of cytochrome P450 enzymes. THAH appears to add a hydroxyl group to the triterpene thalianol. thah1 mutants have an elevated accumulation of thalianol. thah1-1 mutants have longer roots than wild type plants. Thalian-diol and desaturated thalian-diol are lost from the root extracts of thah1-1 mutants. Overexpression of the sequence from At5g48000.1 rescues the thah1-1 mutant phenotype (Field 2008); it is unknown whether the shorter sequences associated with other gene models would provide functional complementation."
"AT1G29600",30.5354008895734,1.96478277608692,0.682518011120362,2.87872663295977,0.00399284274776784,0.0219712262075448,"AT1G29600","AtC3H10",NA
"AT1G77940",1266.50428151759,1.09288449447062,0.379789373664858,2.87760682697517,0.00400704212187149,0.0220143243692331,"AT1G77940","eL30y;RPL30B",NA
"AT2G24680",8.59156172496484,1.77987047996899,0.619262919429665,2.87417577272063,0.00405083449554577,0.0221961335473051,"AT2G24680","REM30",NA
"AT2G32560",562.756186034695,1.03408997770994,0.360309026932594,2.87000852161107,0.00410460736919263,0.0224197156066091,"AT2G32560",NA,NA
"AT1G10640",76.1918073208843,2.21027355314991,0.770676203963716,2.86796652314176,0.00413119243044647,0.0225234131326181,"AT1G10640",NA,NA
"AT5G65140",73.0414962872988,1.01504008501771,0.354481690387837,2.86344855754654,0.00419056854359535,0.0227812747476115,"AT5G65140","TPPJ",NA
"AT2G04780",473.852223309286,1.03614633478037,0.362214461488408,2.86058798017796,0.00422856206189517,0.0229757778873796,"AT2G04780","FLA7","fasciclin-like arabinogalactan-protein 7 (Fla7)"
"AT2G36570",103.351908727127,1.28724185272462,0.45004605284662,2.86024473402797,0.00423314190913057,0.0229946396713573,"AT2G36570","PXC1",NA
"AT3G21230",96.8906194833654,1.24889765063134,0.436823077722518,2.85904686433412,0.0042491600523516,0.0230461807926612,"AT3G21230","4CL5","The gene encodes a 4-coumarate coenzyme A ligase being able to use sinapate as substrate. The catalytic efficiency was in the following (descending) order:  p-coumaric acid, caffeic acid, 5-OH-ferulic acid, ferulic acid and sinapic acid. At4CL5 was unable to use cinnamic acid as substrate. Knockout of At4CL5 (4cl5) revealed no effect on syringyl lignin content indicating that the activity observed does probably not occur in vivo."
"AT3G18200",26.8782767262618,1.24013682068014,0.433977707975876,2.85760489050067,0.00426851530871845,0.0231322753603355,"AT3G18200","UMAMIT4",NA
"AT2G40670",69.7097452056156,1.39136051316413,0.487163135615813,2.85604638660793,0.00428952459627469,0.0232120573341406,"AT2G40670","ARR16;RR16","response regulator 16"
"AT5G55180",306.714348651313,1.13486274012217,0.39737035828325,2.85593204542253,0.00429106964938199,0.0232120573341406,"AT5G55180",NA,NA
"AT1G16640",9.08226853596742,1.95845107781048,0.68604445304021,2.854699967519,0.00430775033877929,0.0232780101010618,"AT1G16640",NA,NA
"AT5G46900",236.067962654818,1.16532373503182,0.408274596993184,2.85426461409568,0.0043136584860881,0.0232977988268413,"AT5G46900",NA,NA
"AT4G37800",1803.88390947209,1.27341899690327,0.44679925364476,2.85009204137063,0.00437065791801812,0.0235016325840554,"AT4G37800","XTH7",NA
"AT2G33790",45.4102218390233,1.50079811015673,0.526866283064971,2.84853701669055,0.00439207437014912,0.0235984415459061,"AT2G33790","AGP30;ATAGP30","pollen Ole e 1 allergen protein containing 14.6% proline residues, similar to arabinogalactan protein (Daucus carota) GI:11322245, SP:Q03211 Pistil-specific extensin-like protein precursor (PELP) {Nicotiana tabacum}; contains Pfam profile PF01190: Pollen proteins Ole e I family"
"AT2G28410",86.6651525419191,1.04382154426046,0.366497128312189,2.84810292802981,0.00439806978011874,0.0236184202921469,"AT2G28410",NA,NA
"AT4G37400",48.1473145925028,1.3057223160745,0.458446070502279,2.84814812491236,0.00439744519817622,0.0236184202921469,"AT4G37400","CYP81F3","member of CYP81F"
"AT1G80320",7.8363380962298,2.21987956642149,0.779497298112515,2.84783484406775,0.00440177612247826,0.0236230780867198,"AT1G80320",NA,NA
"AT2G30020",94.2328951738558,1.0004639205765,0.351391694804631,2.84714731556973,0.00441129435662566,0.0236341689337418,"AT2G30020","AP2C1","Encodes AP2C1.  Belongs to the clade B of the PP2C-superfamily.  Acts as a MAPK phosphatase that negatively regulates MPK4 and MPK6."
"AT1G51380",20.4156208496423,1.74793401478047,0.614108037262976,2.84629724530371,0.0044230886287716,0.0236731098049192,"AT1G51380",NA,NA
"AT1G09240",66.5890175724028,2.56874529770972,0.902568249559449,2.84603995206296,0.00442666406528336,0.0236800273425228,"AT1G09240","ATNAS3;NAS3","Encodes a nicotianamine synthase."
"AT5G07130",62.2706251897041,1.25482352376906,0.441420303443705,2.84269553072129,0.00447337820952005,0.0238868033350047,"AT5G07130","LAC13","putative laccase,  a member of laccase family of genes (17 members in Arabidopsis)."
"AT1G63650",29.1287420565417,1.59709780690122,0.561999509745396,2.84181352333342,0.00448577210325807,0.0239468199387773,"AT1G63650","AtEGL3;ATMYC-2;EGL1;EGL3","Mutant has reduced trichomes, anthocyanin, and seed coat mucilage and abnormally patterned stomates. Encodes a bHLH Transcription Factor 1. The protein is functionally redundant with GL3 and TT8 and interacts with TTG1, the myb proteins GL1, PAP1 and 2, CPC and TRY, and it will form heterodimers with GL3. Expression in N (non-hair cell forming) cell layers is negatively regulated by WER. Expression in H cells (hair cell forming) is promoted by CPC/TRY."
"AT3G53190",224.559217620086,1.08383574861449,0.381545417645496,2.84064674476451,0.00450221537830091,0.0240160601755856,"AT3G53190",NA,NA
"AT4G04900",10.808404221874,1.93965208804709,0.683076263563364,2.83958350115786,0.00451724708192308,0.0240776697622031,"AT4G04900","RIC10","encodes a member of a novel protein family that contains contain a CRIB (for Cdc42/Rac-interactive binding) motif required for their specific interaction with GTP-bound Rop1 (plant-specific Rho GTPase). Most similar to RIC9 and RIC11 (subfamily group I). Gene is expressed predominantly in roots, leaves, and seedlings."
"AT1G13420",106.724854641458,1.62968813370932,0.57419663399877,2.83820565502098,0.00453679413977342,0.0241632334864184,"AT1G13420","ATST4B;ST4B","Encodes a sulfotransferase. Unlike the related ST4A protein (At2g14920), in vitro experiements show that this enzyme does not act brassinosteroids. ST4B is expressed in the roots and transcript levels rise in response to cytokinin treatment."
